FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
14206,1.095724884,0.172803505,0.613794076,307.4587752,1.505473451,1343.320253,7.416072621,0
14207,1.057683265,0.167574193,0.592814223,524.2579959,3.33585425,1409.164624,4.583513719,0
14208,1.058396434,0.16767797,0.593221757,522.9099048,3.277698551,1420.458179,4.991573453,0
14209,1.056335525,0.166161383,0.589073962,447.6306122,2.683882367,630.5912601,5.467692637,0
14210,1.056070076,0.165537247,0.587480849,445.9483369,2.663291953,381.4501038,5.507733436,0
14211,1.056164038,0.165816802,0.588188444,445.8338378,2.758278553,470.1599899,5.104544334,0
14212,1.055713584,0.16629597,0.589256044,470.2993464,3.110336976,765.9313934,4.668454288,0
14213,1.056314096,0.1663218,0.589463085,457.6826458,2.762876555,724.3620514,5.321780768,0
14214,1.067157696,0.169605987,0.59973733,398.0072968,2.549376738,1215.227077,4.653838684,0
14215,1.067128737,0.169477459,0.599423603,397.9079493,2.176969128,1288.603375,5.359685383,0
14216,1.072332895,0.158493525,0.573791228,437.1409215,4.341814034,830.7998511,5.902100034,0
14217,1.068413318,0.159630012,0.575696238,366.1345964,4.691714417,539.7720947,5.266055822,0
14218,1.069290969,0.159304601,0.575109457,371.7772387,4.630330409,595.5415183,5.014847632,0
14219,1.070777941,0.158907078,0.574459448,403.9497957,4.472507398,680.250131,5.192045033,0
14220,1.094591162,0.172843411,0.613734115,349.2115393,2.498883829,1316.65044,4.912115724,0
14221,1.09623779,0.172938945,0.614310889,323.1623871,2.682161261,1190.657834,5.288255658,0
14222,1.067252032,0.169174222,0.598732787,405.4820949,2.408305843,1364.278905,5.160479113,0
14223,1.067399495,0.16910665,0.598607752,408.9876855,2.337635894,1359.195603,6.87928031,0
14224,1.061514982,0.167242823,0.592915729,287.8758178,2,829.2394598,16.48649182,0
14225,1.059554056,0.163790549,0.584038829,193.2622204,2.424187889,131.2518344,4.662038036,0
14226,1.099301027,0.173017716,0.615056143,223.1841339,7.952277702,1071.599341,4.592490745,0
14227,1.097271569,0.172890718,0.614326413,260.1905078,3.970475156,1229.627379,4.921131134,0
14228,1.068072237,0.168892658,0.598255076,336.3337736,2.513999939,1159.333468,16.41565937,0
14229,1.059788428,0.165501674,0.588281031,202.3860179,1.472223979,26.7201456,4.564667736,0
14230,1.059836144,0.165575742,0.588472281,205.3944167,1.574216737,59.54378589,5.289654882,0
14231,1.098121749,0.172845952,0.614355786,193.2730539,2.3414909,1046.080995,4.566044085,0
14232,1.098703082,0.172897948,0.614608751,184.5192376,1.826822012,1016.022639,7.153973387,1
14233,1.098426561,0.172861936,0.614456874,192.7363561,2.441532516,1018.9776,4.922097169,0
14234,1.061522659,0.167060653,0.592492694,239.3100517,2.324554061,723.4812324,8.557038476,0
14235,1.061657515,0.16688132,0.59209638,203.0357215,2.466445957,658.6197132,4.756446556,0
14237,1.105051463,0.173454238,0.617366169,149.0809116,1.23104935,594.7540935,7.58157427,1
14238,1.105750151,0.173495957,0.61760812,126.8696609,1.496905117,514.1380925,8.245254643,0
14239,1.105550237,0.173488853,0.617558137,122.1697063,1.805264895,475.0395827,5.921285049,0
14240,1.104641444,0.173442938,0.617275981,123.2771527,1.793976697,462.4437652,5.38533035,0
14241,1.06145132,0.166188859,0.590357495,122.6421087,3.719772008,391.4030762,4.566736389,0
14242,1.061930802,0.166358962,0.590887181,106.6156632,4.904909035,379.0070814,3.510524852,0
14243,1.108774956,0.173643509,0.618540674,25.11081987,2.212731638,214.3782481,4.619779465,0
14244,1.106821681,0.173552254,0.617951956,121.2774927,1.870606245,438.6959535,5.448641403,0
14245,1.107510034,0.17358514,0.618160514,86.50640978,1.846198902,340.6806164,5.652154342,0
14246,1.108195623,0.173617558,0.61836868,52.1844904,1.817932808,245.9511509,6.546034127,0
14247,1.10795897,0.173625798,0.618368412,46.59923478,1.611835931,263.2433222,6.083990519,0
14248,1.107895328,0.17362517,0.618359441,46.46886439,1.520337669,212.5296824,8.872476952,0
14249,1.109379527,0.173672438,0.618726644,16.38101715,2.967036277,175.2545964,4.80243064,0
14250,1.109427022,0.173677836,0.618751784,13.5345803,2.527600385,162.0302062,4.027288396,0
14251,1.071330593,0.169063822,0.599390545,182.8500384,2.92476946,655.3364845,4.526431061,0
14252,1.068486535,0.168597314,0.597657081,219.5607559,2.496929594,782.7769315,5.568638378,0
14253,1.069536324,0.168772583,0.598306302,205.0427849,2.705974072,728.3743063,4.892760299,0
14254,1.072265133,0.169461336,0.600535804,259.2733718,2.494574761,978.7465572,5.133556115,0
14255,1.072250751,0.169248989,0.600033765,185.0865424,2.866423339,695.4778395,4.799417363,0
14256,1.072222033,0.16933631,0.600232363,214.4174019,2.735287728,831.3401163,4.768548816,0
14262,1.06216417,0.166374116,0.590979633,99.16413741,3.307971886,328.1125055,3.596371616,0
14263,1.062388586,0.166297019,0.59084434,49.61891092,1.586428713,263.5190112,6.552838616,0
