FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
9118,1.03755873,0.174324321,0.567703679,269.6563516,2.954505488,667.6056557,5.126282174,0,0.0938157,0,1
8540,0.950808725,0.166884752,0.556623801,1024.572532,2.733330249,3424.396578,8.057972924,1,0.9106762,1,1
16748,1.074820798,0.171532615,0.606209051,664.4104488,1.018125341,1740.689606,7.835678951,1,0.97967017,1,1
13809,1.047133148,0.168028916,0.578687702,362.4936711,2.500752305,1293.081201,5.190475412,0,0.14747837,0,1
15464,0.93970827,0.170397376,0.576264058,121.8706533,1.153644096,489.1202557,5.874123471,1,0.8272735,1,1
7823,0.951271502,0.16766545,0.557365829,886.3834732,2.795989185,3088.833432,6.722524177,1,0.775212,1,1
16362,1.054106032,0.161092434,0.575859565,952.164913,3.677673525,1387.801133,4.909744243,0,0.13687378,0,1
17219,0.972576935,0.173707895,0.558454055,287.2429604,2.358060309,1115.006323,5.441042786,0,0.19006485,0,1
2425,0.954035581,0.17351266,0.55571232,143.6430732,2.734833782,527.863734,5.915753808,0,0.29801652,0,1
272,0.942725771,0.178422177,0.560204174,180.3534901,2.798390423,583.4690348,4.616691261,0,0.10718894,0,1
14798,1.067556258,0.155682236,0.5568291,1227.600976,2.374946623,1454.940293,6.304727916,1,0.90822345,1,1
6974,1.061003288,0.158280271,0.534042278,1186.440799,3.029112267,267.7191559,5.189342569,0,0.13628668,0,1
5599,1.030717627,0.165861457,0.540969223,737.6022582,3.440832527,701.6351902,8.205947616,1,0.8201622,1,1
6175,1.027434616,0.174642008,0.565766507,492.2397467,2.836450113,1183.419413,6.261484982,1,0.72666353,1,1
7538,0.92238678,0.150709326,0.528231941,153.6539207,1.732713185,569.0889197,8.327517498,1,0.9450875,1,1
12429,1.002415954,0.166252307,0.568307737,16.41691198,1.433378235,129.6256372,4.554027137,1,0.5723871,1,1
14405,1.082155068,0.171537692,0.607716648,330.4176173,1.135487039,418.5038722,8.240033555,1,0.9355315,1,1
14201,1.093757632,0.172762843,0.613334612,378.9209262,1.530076577,1427.160244,6.397107332,1,0.9142312,1,1
16329,0.98096403,0.170926678,0.585740535,1093.140321,2.897087484,3063.934658,5.277117092,0,0.32339337,0,1
3804,0.904116318,0.161826773,0.54315476,43.54034914,0.828824359,186.4979022,5.71059336,1,0.97402716,1,1
6066,1.066471073,0.158146541,0.526928723,1452.19134,3.679222356,1890.923539,4.518513117,1,0.75567484,1,1
2913,0.980154009,0.173755692,0.560235585,108.2165731,1.567034989,348.7921584,6.880142367,1,0.75200915,1,1
3333,0.902007928,0.165196106,0.547530193,16.01648405,0.808471276,130.6027289,5.215549402,1,0.9613866,1,1
2169,0.948430479,0.173482498,0.555908308,130.169372,2.420486209,482.6627195,6.353849807,1,0.5421652,1,1
16492,0.906050304,0.167540863,0.566444846,0.0,0.763539979,230.1029792,5.466414287,1,0.93971854,1,1
10988,1.015200677,0.171799721,0.566883722,568.9643648,2.323532512,1766.221469,6.820970608,1,0.778568,1,1
16066,0.993172164,0.172326234,0.58744925,640.2107296,3.108150789,2159.526879,6.265473512,0,0.1526592,0,1
15965,0.919857311,0.158330887,0.551633362,482.2575328,2.843074921,1686.728108,5.180406961,0,0.17234461,0,1
7660,1.050414009,0.177512657,0.571940255,106.1517664,2.814195803,203.8250811,4.22942503,0,0.05166469,0,1
8676,0.92141754,0.153351335,0.532499359,174.7147496,4.156513483,670.6100372,5.283178803,0,0.42155004,0,1
1005,1.051563879,0.173919092,0.537816259,929.388756,2.791581597,1255.661295,8.082957114,1,0.94569546,1,1
5435,0.917334869,0.15560948,0.535313806,565.291339,2.548751059,1286.065737,5.373050203,0,0.25426626,0,1
17456,0.973607798,0.174278033,0.561425556,9.536561239,1.225518219,50.2217543,4.499273806,1,0.7017483,1,1
6027,1.032555724,0.175849756,0.567905214,301.2852532,1.961918158,603.3725229,4.139037341,0,0.18763244,0,1
2432,0.976443427,0.173522226,0.554397249,382.1681262,3.000447939,1160.507778,5.806854748,0,0.3909704,0,1
299,0.952302065,0.176510289,0.556828149,234.9243533,3.194558854,832.6035443,4.863347219,0,0.1268122,0,1
1552,0.955450388,0.175734814,0.555614807,76.65256118,2.985683945,273.4347162,5.243915668,0,0.13738391,0,1
4245,1.031978504,0.164737649,0.543254771,281.0381537,3.141731224,297.7478368,4.081268975,0,0.08982048,0,1
16427,0.972758852,0.173224252,0.576862463,225.918107,3.059719793,774.6070351,4.896024913,0,0.11328904,0,1
2694,1.020360998,0.170300521,0.545140155,624.2059839,3.160100195,521.5010255,4.517415899,0,0.19010912,0,1
17252,1.057114758,0.173713245,0.568873081,692.37128,1.834275217,991.5310419,7.312100682,1,0.8947196,1,1
15080,0.939496872,0.166687637,0.572148998,1208.688403,3.225134129,2436.154575,4.895540287,0,0.10342441,0,1
2228,0.926489355,0.174970982,0.557934962,95.14208643,2.536680988,376.1040839,5.066748133,0,0.05964593,0,1
6277,0.962126476,0.170889384,0.561090613,680.5730715,1.460200929,2300.25339,8.156650843,1,0.9486463,1,1
11611,0.988306946,0.167775916,0.565468085,753.7312471,2.214309729,2660.3457,5.613444322,0,0.35745877,0,1
6047,1.040930746,0.176618254,0.569792991,204.3552456,1.78901397,222.1382116,4.864636331,0,0.08129073,0,1
10525,1.086342712,0.154244637,0.541154993,1060.578457,3.060181667,129.9398768,7.406131834,1,0.82027715,1,1
15692,1.047557828,0.164651747,0.583240898,884.3856915,1.848446455,1834.64884,6.763369069,1,0.9222932,1,1
7861,1.068340329,0.156537309,0.541413714,1348.433097,3.346865517,1468.175067,4.503516701,0,0.27025756,0,1
9602,1.066265366,0.157151512,0.544589646,895.5911575,3.174496022,1676.328861,7.396363449,1,0.9101817,1,1
11129,1.015650574,0.171389146,0.566560857,631.5267975,2.483237681,2105.683667,7.643934162,1,0.87642616,1,1
16136,0.970839865,0.17376891,0.573847084,192.3330347,2.741040054,374.589125,4.506190255,0,0.038588442,0,1
16631,1.011500862,0.171781202,0.579063725,119.8155866,3.216617602,288.7046654,4.468180528,0,0.04117945,0,1
8728,1.068106876,0.156801103,0.53623163,1173.360988,2.702114763,1625.076411,7.316629912,1,0.94316655,1,1
5306,1.084155692,0.156928428,0.517023546,1572.447709,4.233763318,2935.229922,5.114603506,0,0.4659947,0,1
976,1.043073494,0.173884224,0.539034903,1260.045453,3.476152634,1798.166452,7.86760865,1,0.906799,1,1
